                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.0755,                  21.45,                 4.0822,                0.00048,                 0.2559,                0.00212,                0.00044,                 5.1214,                 8.2768,                 3.8682,             0.00030167,             0.00030167,             0.00030167
                      2,                 4.6942,                 14.013,                 3.6279,                0.00201,                0.25921,                0.00381,                0.00116,                 4.9713,                 8.3288,                 4.2029,             0.00059269,             0.00059269,             0.00059269
                      3,                 4.6647,                  10.33,                 3.6994,                0.00562,                0.20222,                0.01728,                0.00602,                 4.8354,                 7.9783,                  4.222,             0.00087172,             0.00087172,             0.00087172
                      4,                 4.6066,                 8.9609,                 3.7029,                0.70978,                0.02939,                0.04062,                0.01253,                 4.6334,                 8.1921,                 3.8331,             0.00085501,             0.00085501,             0.00085501
                      5,                 4.4669,                 8.1267,                 3.6886,                0.77685,                0.05254,                0.05269,                  0.019,                 4.6162,                 7.2126,                 3.9207,             0.00083701,             0.00083701,             0.00083701
                      6,                 4.4288,                 7.5105,                 3.6131,                 0.6975,                0.04797,                0.07674,                0.02573,                  4.545,                 7.1867,                 3.8827,             0.00081901,             0.00081901,             0.00081901
                      7,                 4.3342,                   7.16,                 3.5987,                0.59668,                0.08621,                 0.0629,                0.02188,                 4.3609,                 7.7212,                 3.9152,             0.00080101,             0.00080101,             0.00080101
                      8,                 4.2613,                 7.0446,                  3.528,                0.69168,                0.10378,                0.10702,                0.03808,                 4.4222,                 6.5688,                 3.8977,             0.00078301,             0.00078301,             0.00078301
                      9,                 4.2743,                 6.7018,                 3.5356,                0.52483,                0.14376,                0.12105,                0.03876,                 4.3472,                 6.5903,                 3.7782,             0.00076501,             0.00076501,             0.00076501
                     10,                 4.1751,                  6.435,                 3.4571,                0.60526,                0.10184,                0.09286,                0.02912,                 4.4526,                 6.7312,                 3.8858,             0.00074702,             0.00074702,             0.00074702
                     11,                 4.1298,                 6.3515,                 3.4401,                0.34309,                0.16187,                0.13755,                0.04704,                 4.3485,                  6.639,                 3.7322,             0.00072902,             0.00072902,             0.00072902
                     12,                 4.0882,                 6.1317,                 3.3986,                0.43413,                0.18093,                0.13209,                 0.0461,                 4.3461,                 6.2261,                 3.8675,             0.00071102,             0.00071102,             0.00071102
                     13,                 4.0427,                 5.9667,                 3.3891,                0.34805,                  0.156,                0.12135,                0.03978,                 4.4992,                 6.4173,                 3.9449,             0.00069302,             0.00069302,             0.00069302
                     14,                 3.9924,                  5.796,                 3.3335,                0.16185,                0.14914,                0.13224,                0.04672,                 4.5019,                 6.2918,                 3.9154,             0.00067502,             0.00067502,             0.00067502
