                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.0755,                  21.45,                 4.0822,                0.00048,                 0.2559,                0.00212,                0.00044,                 5.1214,                 8.2768,                 3.8682,             0.00030167,             0.00030167,             0.00030167
                      2,                 4.6895,                 14.022,                 3.6392,                 0.0039,                0.26652,                0.01077,                0.00297,                 4.8058,                 7.9554,                 3.7858,             0.00059868,             0.00059868,             0.00059868
                      3,                 4.6859,                 10.279,                 3.7678,                0.00769,                0.28082,                0.03624,                0.00944,                 4.8171,                 7.8093,                  4.028,             0.00088969,             0.00088969,             0.00088969
                      4,                 4.6517,                 8.8811,                 3.7373,                0.00405,                0.58755,                0.05077,                0.01508,                  4.563,                 7.8059,                  3.738,               0.000882,               0.000882,               0.000882
                      5,                 4.5194,                  8.123,                 3.6906,                0.59295,                0.04177,                0.07294,                0.01858,                 4.7013,                 8.4096,                  3.943,               0.000873,               0.000873,               0.000873
                      6,                 4.4606,                  7.655,                  3.639,                0.62716,                0.06608,                0.07711,                0.02456,                 4.4646,                 6.8432,                 3.7597,               0.000864,               0.000864,               0.000864
                      7,                 4.3694,                  7.242,                  3.601,                0.61573,                0.12094,                0.08789,                0.02828,                  4.294,                 6.9268,                 3.9533,             0.00085501,             0.00085501,             0.00085501
                      8,                  4.273,                 7.0772,                 3.6398,                0.39415,                0.09165,                0.07302,                0.02522,                 4.4925,                 6.8558,                 4.0731,             0.00084601,             0.00084601,             0.00084601
                      9,                 4.2297,                 6.7668,                 3.5887,                0.34471,                0.14979,                0.09987,                0.03309,                  4.366,                 6.4245,                 3.8139,             0.00083701,             0.00083701,             0.00083701
                     10,                 4.2149,                 6.5182,                  3.539,                0.46282,                0.12369,                0.10864,                0.04187,                  4.315,                 6.4297,                 3.8482,             0.00082801,             0.00082801,             0.00082801
                     11,                 4.1592,                 6.4271,                 3.4845,                0.42903,                0.17525,                0.15074,                 0.0509,                 4.5194,                 6.1069,                 3.8677,             0.00081901,             0.00081901,             0.00081901
                     12,                 4.1295,                 6.2856,                 3.4571,                0.48818,                 0.1429,                0.11941,                0.04292,                 4.3933,                 6.3445,                 3.9118,             0.00081001,             0.00081001,             0.00081001
                     13,                 4.0576,                 6.1307,                 3.4253,                0.32238,                0.19819,                 0.1586,                 0.0491,                 4.4992,                  6.236,                 3.9788,             0.00080101,             0.00080101,             0.00080101
                     14,                 4.0124,                 5.8759,                 3.3565,                0.25207,                0.18789,                0.15902,                0.06169,                 4.4148,                  6.007,                 3.8617,             0.00079201,             0.00079201,             0.00079201
                     15,                 3.9982,                 5.7664,                 3.3881,                0.24219,                0.20677,                0.16674,                0.06435,                 4.3808,                 6.3874,                 3.9465,             0.00078301,             0.00078301,             0.00078301
                     16,                 3.9422,                 5.6805,                 3.3194,                 0.1977,                0.21293,                0.16454,                  0.053,                 4.5785,                 6.2096,                 3.9379,             0.00077401,             0.00077401,             0.00077401
                     17,                 3.9362,                 5.4963,                  3.308,                0.22565,                0.17649,                0.15254,                0.05329,                 4.4719,                 6.2695,                 4.0154,             0.00076501,             0.00076501,             0.00076501
                     18,                 3.8657,                 5.3484,                 3.3012,                0.18438,                0.22443,                0.14183,                0.05123,                 4.4286,                 6.2304,                 3.9474,             0.00075602,             0.00075602,             0.00075602
                     19,                 3.8728,                 5.3235,                 3.2735,                0.25626,                  0.216,                0.15963,                0.06182,                 4.4332,                 6.2815,                 3.9009,             0.00074702,             0.00074702,             0.00074702
